OTTid,Order,Family,Species_genus,LOG5-1 AdultBodyMass kg,LitterSize,LOG.LitterSize,Source
532122,Carnivora,Mustelidae,Martes_martes,0.11394,3.49,0.54,PanTHERIA - Jones et al. 2009
4697,Carnivora,Mustelidae,Martes_pennanti,0.57403,3.02,0.48,PanTHERIA - Jones et al. 2009
681187,Carnivora,Mustelidae,Martes_zibellina,0.06963,3.13,0.5,PanTHERIA - Jones et al. 2009
381134,Carnivora,Mustelidae,Melogale_moschata,-0.02757,2,0.3,PanTHERIA - Jones et al. 2009
486046,Carnivora,Mustelidae,Melogale_personata,0.26606,2.5,0.4,PanTHERIA - Jones et al. 2009
297463,Carnivora,Ursidae,Melursus_ursinus,2.00000,1.54,0.19,PanTHERIA - Jones et al. 2009
231604,Carnivora,Mephitidae,Mephitis_macroura,0.04051,4.68,0.67,PanTHERIA - Jones et al. 2009
231602,Carnivora,Mephitidae,Mephitis_mephitis,0.38021,5.7,0.76,PanTHERIA - Jones et al. 2009
1088403,Carnivora,Nandiniidae,Nandinia_binotata,0.33590,1.84,0.26,PanTHERIA - Jones et al. 2009
69264,Carnivora,Mustelidae,Mustela_altaica,-0.74415,5.44,0.74,PanTHERIA - Jones et al. 2009
681184,Carnivora,Mustelidae,Mustela_erminea,-0.54592,6.74,0.83,PanTHERIA - Jones et al. 2009
3612699,Carnivora,Mustelidae,Mustela_eversmanii,0.22640,7.82,0.89,PanTHERIA - Jones et al. 2009
685101,Carnivora,Mustelidae,Mustela_frenata,-0.72118,6.5,0.81,PanTHERIA - Jones et al. 2009
923105,Carnivora,Mustelidae,Mustela_lutreola,-0.24685,4.5,0.65,PanTHERIA - Jones et al. 2009
541439,Carnivora,Mustelidae,Mustela_nigripes,-0.04234,3.36,0.53,PanTHERIA - Jones et al. 2009
354525,Carnivora,Mustelidae,Mustela_nivalis,-1.10541,5.07,0.71,PanTHERIA - Jones et al. 2009
378004,Carnivora,Mustelidae,Mustela_nudipes,-0.24457,4,0.6,PanTHERIA - Jones et al. 2009
923126,Carnivora,Mustelidae,Mustela_putorius,-0.01075,8.48,0.93,PanTHERIA - Jones et al. 2009
549525,Carnivora,Mustelidae,Mustela_sibirica,-0.27503,6.48,0.81,PanTHERIA - Jones et al. 2009
736280,Carnivora,Procyonidae,Nasua_narica,0.66072,4,0.6,PanTHERIA - Jones et al. 2009
348031,Carnivora,Procyonidae,Nasua_nasua,0.57697,3.69,0.57,PanTHERIA - Jones et al. 2009
273179,Carnivora,Otariidae,Neophoca_cinerea,2.27709,1.35,0.13,PanTHERIA - Jones et al. 2009
949680,Carnivora,Canidae,Nyctereutes_procyonoides,0.62480,6.36,0.8,PanTHERIA - Jones et al. 2009
749644,Carnivora,Odobenidae,Odobenus_rosmarus,3.01828,1.22,0.09,PanTHERIA - Jones et al. 2009
273182,Carnivora,Otariidae,Otaria_flavescens,2.28706,1,0,PanTHERIA - Jones et al. 2009
821973,Carnivora,Canidae,Otocyon_megalotis,0.61258,4,0.6,PanTHERIA - Jones et al. 2009
4354512,Carnivora,Phocidae,Pagophilus_groenlandicus,2.12140,1,0,PanTHERIA - Jones et al. 2009
397136,Carnivora,Viverridae,Paguma_larvata,0.63347,2.16,0.33,PanTHERIA - Jones et al. 2009
563151,Carnivora,Felidae,Panthera_leo,2.20037,2.75,0.44,PanTHERIA - Jones et al. 2009
415266,Carnivora,Herpestidae,Paracynictis_selousi,0.22264,2,0.3,PanTHERIA - Jones et al. 2009
1088400,Carnivora,Viverridae,Paradoxurus_hermaphroditus,0.50515,3.29,0.52,PanTHERIA - Jones et al. 2009
581994,Carnivora,Viverridae,Paradoxurus_jerdoni,0.54782,3,0.48,PanTHERIA - Jones et al. 2009
650612,Carnivora,Viverridae,Paradoxurus_zeylonensis,0.45045,2.5,0.4,PanTHERIA - Jones et al. 2009
660452,Carnivora,Felidae,Pardofelis_marmorata,0.45128,2,0.3,PanTHERIA - Jones et al. 2009
397142,Carnivora,Mustelidae,Pteronura_brasiliensis,1.41497,2.12,0.33,PanTHERIA - Jones et al. 2009
89833,Carnivora,Phocidae,Phoca_largha,1.99510,1,0,PanTHERIA - Jones et al. 2009
698422,Carnivora,Phocidae,Phoca_vitulina,1.94110,1,0,PanTHERIA - Jones et al. 2009
949672,Carnivora,Otariidae,Phocarctos_hookeri,2.43696,1,0,PanTHERIA - Jones et al. 2009
660447,Carnivora,Felidae,Profelis_aurata,1.05220,2.25,0.35,PanTHERIA - Jones et al. 2009
901607,Carnivora,Herpestidae,Rhynchogale_melleri,0.35031,2,0.3,PanTHERIA - Jones et al. 2009
415263,Carnivora,Mustelidae,Poecilogale_albinucha,-0.51122,2.23,0.35,PanTHERIA - Jones et al. 2009
373466,Carnivora,Viverridae,Poiana_richardsonii,-0.24406,2.23,0.35,PanTHERIA - Jones et al. 2009
280108,Carnivora,Felidae,Prionailurus_bengalensis,0.44420,2.5,0.4,PanTHERIA - Jones et al. 2009
507541,Carnivora,Felidae,Prionailurus_rubiginosus,0.15191,2.23,0.35,PanTHERIA - Jones et al. 2009
862641,Carnivora,Felidae,Prionailurus_viverrinus,0.94579,2,0.3,PanTHERIA - Jones et al. 2009
194349,Carnivora,Viverridae,Prionodon_linsang,-0.16442,2.3,0.36,PanTHERIA - Jones et al. 2009
373467,Carnivora,Viverridae,Prionodon_pardicolor,0.05792,2,0.3,PanTHERIA - Jones et al. 2009
914060,Carnivora,Procyonidae,Procyon_cancrivorus,0.84084,2.62,0.42,PanTHERIA - Jones et al. 2009
348040,Carnivora,Procyonidae,Procyon_lotor,0.80439,3.06,0.49,PanTHERIA - Jones et al. 2009
563161,Carnivora,Hyaenidae,Proteles_cristata,0.91059,2.64,0.42,PanTHERIA - Jones et al. 2009
86162,Carnivora,Felidae,Puma_yagouaroundi,0.83727,2.5,0.4,PanTHERIA - Jones et al. 2009
22064,Carnivora,Phocidae,Pusa_caspica,1.79467,1,0,PanTHERIA - Jones et al. 2009
175251,Carnivora,Phocidae,Pusa_hispida,1.85104,1,0,PanTHERIA - Jones et al. 2009
1040678,Carnivora,Phocidae,Pusa_sibirica,1.95182,1,0,PanTHERIA - Jones et al. 2009
684074,Carnivora,Canidae,Speothos_venaticus,0.80103,3.8,0.58,PanTHERIA - Jones et al. 2009
872573,Carnivora,Ursidae,Ailuropoda_melanoleuca,2.07188,1.62,0.21,PanTHERIA - Jones et al. 2009
872562,Carnivora,Ailuridae,Ailurus_fulgens,0.71350,1.7,0.23,PanTHERIA - Jones et al. 2009
754609,Carnivora,Mephitidae,Spilogale_putorius,-0.24681,5.07,0.71,PanTHERIA - Jones et al. 2009
679667,Carnivora,Ursidae,Tremarctos_ornatus,2.09053,1.44,0.16,PanTHERIA - Jones et al. 2009
803645,Carnivora,Herpestidae,Suricata_suricatta,-0.13668,3.86,0.59,PanTHERIA - Jones et al. 2009
752759,Carnivora,Felidae,Acinonyx_jubatus,1.70396,3.28,0.52,PanTHERIA - Jones et al. 2009
4709,Carnivora,Mustelidae,Aonyx_capensis,1.28606,2.62,0.42,PanTHERIA - Jones et al. 2009
956747,Carnivora,Mustelidae,Aonyx_cinerea,0.54748,1.47,0.17,PanTHERIA - Jones et al. 2009
768502,Carnivora,Viverridae,Arctictis_binturong,1.11394,2.5,0.4,PanTHERIA - Jones et al. 2009
796568,Carnivora,Otariidae,Arctocephalus_australis,1.83238,1,0,PanTHERIA - Jones et al. 2009
590445,Carnivora,Otariidae,Arctocephalus_galapagoensis,1.59603,1,0,PanTHERIA - Jones et al. 2009
336157,Carnivora,Otariidae,Arctocephalus_gazella,1.98498,1,0,PanTHERIA - Jones et al. 2009
796545,Carnivora,Otariidae,Arctocephalus_philippii,1.97772,1,0,PanTHERIA - Jones et al. 2009
336156,Carnivora,Otariidae,Arctocephalus_pusillus,2.25164,1,0,PanTHERIA - Jones et al. 2009
796557,Carnivora,Otariidae,Arctocephalus_townsendi,2.00460,1,0,PanTHERIA - Jones et al. 2009
336151,Carnivora,Otariidae,Arctocephalus_tropicalis,1.96484,1.4,0.15,PanTHERIA - Jones et al. 2009
768505,Carnivora,Viverridae,Arctogalidia_trivirgata,0.36620,2.79,0.45,PanTHERIA - Jones et al. 2009
1086986,Carnivora,Mustelidae,Arctonyx_collaris,0.91204,3,0.48,PanTHERIA - Jones et al. 2009
754612,Carnivora,Mustelidae,Taxidea_taxus,0.89444,2.76,0.44,PanTHERIA - Jones et al. 2009
532117,Carnivora,Felidae,Uncia_uncia,1.51188,2.12,0.33,PanTHERIA - Jones et al. 2009
685113,Carnivora,Canidae,Urocyon_cinereoargenteus,0.58362,3.71,0.57,PanTHERIA - Jones et al. 2009
682591,Carnivora,Canidae,Urocyon_littoralis,0.28398,2.17,0.34,PanTHERIA - Jones et al. 2009
872577,Carnivora,Ursidae,Ursus_americanus,2.04336,2.39,0.38,PanTHERIA - Jones et al. 2009
872567,Carnivora,Ursidae,Ursus_arctos,2.29289,2.24,0.35,PanTHERIA - Jones et al. 2009
872580,Carnivora,Ursidae,Ursus_thibetanus,1.99876,1.5,0.18,PanTHERIA - Jones et al. 2009
561910,Carnivora,Viverridae,Viverra_tangalunga,0.86629,1.92,0.28,PanTHERIA - Jones et al. 2009
445401,Carnivora,Viverridae,Viverra_zibetha,0.96136,2.89,0.46,PanTHERIA - Jones et al. 2009
1031807,Carnivora,Mustelidae,Vormela_peregusna,-0.22612,5.07,0.71,PanTHERIA - Jones et al. 2009
3612511,Carnivora,Canidae,Vulpes_bengalensis,0.40043,3.49,0.54,PanTHERIA - Jones et al. 2009
996571,Carnivora,Canidae,Vulpes_cana,-0.00502,2,0.3,PanTHERIA - Jones et al. 2009
821968,Carnivora,Canidae,Vulpes_chama,0.46535,2.5,0.4,PanTHERIA - Jones et al. 2009
523960,Carnivora,Canidae,Vulpes_corsac,0.41753,5.62,0.75,PanTHERIA - Jones et al. 2009
110766,Carnivora,Canidae,Vulpes_ferrilata,0.74380,3.49,0.54,PanTHERIA - Jones et al. 2009
775766,Carnivora,Canidae,Vulpes_lagopus,0.55441,7.65,0.88,PanTHERIA - Jones et al. 2009
3612512,Carnivora,Canidae,Vulpes_pallida,0.44716,4,0.6,PanTHERIA - Jones et al. 2009
419501,Carnivora,Canidae,Vulpes_rueppellii,0.51188,2.12,0.33,PanTHERIA - Jones et al. 2009
297455,Carnivora,Canidae,Vulpes_velox,0.31973,4.25,0.63,PanTHERIA - Jones et al. 2009
821964,Carnivora,Canidae,Vulpes_vulpes,0.68308,4.59,0.66,PanTHERIA - Jones et al. 2009
315465,Carnivora,Canidae,Vulpes_zerda,0.11963,2.36,0.37,PanTHERIA - Jones et al. 2009
95364,Carnivora,Otariidae,Zalophus_californianus,2.13734,1.41,0.15,PanTHERIA - Jones et al. 2009
